index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.stern.de/panorama/wissen/klimawandel--wenig-schnee--viel-hitze--gletscher-schrumpfen-weiter-36096194.html,https://www.stern.de/panorama/wissen/klimawandel--wenig-schnee--viel-hitze--gletscher-schrumpfen-weiter-36096194.html,0,www.stern.de,"Klimawandel: Wenig Schnee, viel Hitze: Gletscher schrumpfen weiter",Gletscherschwund im Rekordtempo: Warum ein schneearmer Winter und Hitzewellen das Schweizer Gebirge gefährlicher machen – und was das für Alpendörfer wie Blatten bedeutet.,https://image.stern.de/36096196/t/7i/v1/w1440/r1.7778/-/01--ltv75aqgwuv3axs2048jpeg---6fc7ab2906a8b0e0.jpg,2025-10-01T07:00:08Z,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Gletscherschwund im Rekordtempo: Warum ein schneearmer Winter und Hitzewellen das Schweizer Gebirge gefährlicher machen und was das für Alpendörf… [+2406 chars]",,de,'Hitzewelle'
https://www.tagesspiegel.de/wissen/klimawandel-wenig-schnee-viel-hitze-gletscher-schrumpfen-weiter-14434421.html,https://www.tagesspiegel.de/wissen/klimawandel-wenig-schnee-viel-hitze-gletscher-schrumpfen-weiter-14434421.html,0,www.tagesspiegel.de,"Klimawandel: Wenig Schnee, viel Hitze: Gletscher schrumpfen weiter",Gletscherschwund im Rekordtempo: Warum ein schneearmer Winter und Hitzewellen das Schweizer Gebirge gefährlicher machen – und was das für Alpendörfer wie Blatten bedeutet.,https://www.tagesspiegel.de/images/14434418/alternates/BASE_16_9_W1400/1759302100000/rhonegletscher-in-der-schweiz.jpeg,2025-10-01T07:01:41Z,,"Es gibt keine Verschnaufpause für die Schweizer Gletscher: in diesem Jahr wurde bei ihnen der viertgrößte Schwund seit Messbeginn 1950 erfasst. Ihr Volumen ging um drei Prozent zurück, wie das Gletsc… [+2273 chars]",,de,'Hitzewelle'
https://www.faz.net/aktuell/gesellschaft/schweiz-gletscher-in-den-alpen-schrumpfen-2025-weiter-accg-110712116.html,https://www.faz.net/aktuell/gesellschaft/schweiz-gletscher-in-den-alpen-schrumpfen-2025-weiter-accg-110712116.html,0,www.faz.net,"Wenig Schnee, viel Hitze: Gletscher in der Schweiz sind in diesem Jahr deutlich geschrumpft",Auf einen schneearmen Winter folgten mehrere Hitzewellen: In diesem Jahr ging das Volumen der Schweizer Gletscher um drei Prozent zurück. Das hat Folgen für das Gestein und die umliegenden Orte.,https://media1.faz.net/ppmedia/w1200/aktuell/gesellschaft/1814428222/1.10712121/facebook_teaser/der-muttgletscher-in-den.jpg.webp,2025-10-01T09:28:36Z,,"Es gibt keine Verschnaufpause für die Schweizer Gletscher: in diesem Jahr wurde bei ihnen der viertgrößte Schwund seit Messbeginn 1950 erfasst. Ihr Volumen ging um drei Prozent zurück, wie das Gletsc… [+2168 chars]",,de,'Hitzewelle'
https://www.stern.de/news/gesundheitsministerium--spanien-verzeichnete-im-sommer-2025-fast-4000-hitzetote-36102424.html,https://www.stern.de/news/gesundheitsministerium--spanien-verzeichnete-im-sommer-2025-fast-4000-hitzetote-36102424.html,0,www.stern.de,Gesundheitsministerium: Spanien verzeichnete im Sommer 2025 fast 4000 Hitzetote,"In Spanien hat es im diesem Sommer fast 4000 Hitzetote gegeben - enorm viel mehr als vergangenes Jahr. Insgesamt 3830 Todesfälle zwischen dem 16. Mai und dem 30. September 2025 seien auf die hohen Temperaturen zurückzuführen, erklärte das spanische Gesundheit…",https://image.stern.de/36102426/t/aZ/v1/w1440/r1.7778/-/02--fahrraeder-am-rande-eines-waldbrands-in-nordwestspanien-im-august---4172c13129e310bc.jpg,2025-10-02T16:20:44Z,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
In Spanien hat es im diesem Sommer fast 4000 Hitzetote gegeben - enorm viel mehr als vergangenes Jahr. Insgesamt 3830 Todesfälle zwischen dem 16.… [+1569 chars]",,de,'Hitzetote'
https://www.diepresse.com/20163400/fast-4000-spanische-hitzetote-im-sommer-2025,https://www.diepresse.com/20163400/fast-4000-spanische-hitzetote-im-sommer-2025,0,www.diepresse.com,Fast 4000 spanische Hitzetote im Sommer 2025,Der heißeste Sommer seit Beginn der Aufzeichnungen in Spanien sorgte laut dem Gesundheitsminister in Madrid für fast 4000 Hitzetote dieses Jahr.,https://img.diepresse.com/public/incoming/poah0l-imago-images-0829370241/alternates/DPR_SOCIAL_NACHRICHTEN/imago%20images%200829370241,2025-10-02T19:57:10Z,,"Der heißeste Sommer seit Beginn der Aufzeichnungen in Spanien sorgte laut dem Gesundheitsminister in Madrid für fast 4000 Hitzetote dieses Jahr. 
In Spanien hat es diesen Sommer fast 4.000 Hitzetote… [+1677 chars]",,de,'Hitzetote'
https://www.nzz.ch/wissenschaft/die-hitzewellen-in-den-weltmeeren-sind-ein-experiment-in-echtzeit-fuer-die-klimaziele-sind-sie-ein-problem-ld.1905369,https://www.nzz.ch/wissenschaft/die-hitzewellen-in-den-weltmeeren-sind-ein-experiment-in-echtzeit-fuer-die-klimaziele-sind-sie-ein-problem-ld.1905369,0,www.nzz.ch,Die Hitzewellen in den Weltmeeren sind ein Experiment in Echtzeit. Für die Klimaziele sind sie ein Problem,"Heute nehmen die Ozeane rund ein Viertel der menschengemachten CO2-Emissionen auf. Forscher sagen nun, Hitzewellen würden wohl auch dort wahrscheinlicher. Mit möglicherweise negativen Folgen für die Klimaziele.","https://img.nzz.ch/2025/10/02/4e216032-2772-4a17-8623-ba183a6a853c.jpg?width=1200&height=674&fit=bounds&quality=75&auto=webp&crop=6150,3459,x0,y320&wmark=nzz",2025-10-03T03:30:00Z,,"Heute nehmen die Ozeane rund ein Viertel der menschengemachten CO2-Emissionen auf. Forscher sagen nun, Hitzewellen würden wohl auch dort wahrscheinlicher. Mit möglicherweise negativen Folgen für die … [+8237 chars]",,de,'Hitzewelle'
https://taz.de/Bilanz-des-Sommers/!6117526/,https://taz.de/Bilanz-des-Sommers/!6117526/,0,taz.de,Bilanz des Sommers: Fast 4.000 Hitzetote in Spanien,Im Sommer erlebte Spanien eine Rekordhitzewelle. Nun zieht das Gesundheitsministerium Bilanz. Eine Gruppe von Menschen ist besonders betroffen.,https://taz.de/picture/7965488/1200/39002849.jpeg,2025-10-03T10:00:00Z,,Im Sommer erlebte Spanien eine Rekordhitzewelle. Nun zieht das Gesundheitsministerium Bilanz. Eine Gruppe von Menschen ist besonders betroffen. mehr...,,de,'Hitzetote'
https://www.bild.de/regional/muenchen/flughafen-muenchen-polizeihubschrauber-nach-drohnen-alarm-im-einsatz-68e0d06a89973cba61e811c4,https://www.bild.de/regional/muenchen/flughafen-muenchen-polizeihubschrauber-nach-drohnen-alarm-im-einsatz-68e0d06a89973cba61e811c4,0,www.bild.de,Nach Drohnen-Alarm - Polizeihubschrauber über Münchner Flughafen,"München – Große Anspannung bei den Sicherheitskräften am Münchner Flughafen! Noch immer versucht die Bundespolizei mit Hochdruck herauszufinden, was es m...","https://images.bild.de/68e0d06a89973cba61e811c4/3c27b1845efbaabccc2a3ff6d9d0ec6b,c04b9d7a?w=1280",2025-10-04T08:35:52Z,,"München Große Anspannung bei den Sicherheitskräften am Münchner Flughafen! Noch immer versucht die Bundespolizei mit Hochdruck herauszufinden, was es mit den mysteriösen Drohnen-Sichtungen auf sich h… [+1671 chars]",,de,'Hochdruck'
https://www.stern.de/news/wegen-hitzewelle-im-august--sehr-schlechte-weinernte-in-frankreich-erwartet-36111352.html,https://www.stern.de/news/wegen-hitzewelle-im-august--sehr-schlechte-weinernte-in-frankreich-erwartet-36111352.html,0,www.stern.de,Wegen Hitzewelle im August: Sehr schlechte Weinernte in Frankreich erwartet,"Die Weinernte in Frankreich dürfte ein weiteres Jahr in Folge sehr schlecht ausfallen. Das Landwirtschaftsministerium in Paris schätzt den diesjährigen Ertrag auf 36 Millionen Hektoliter, wie es am Dienstag mitteilte. Das wäre annähernd so viel wie im vergang…",https://image.stern.de/36111354/t/n-/v1/w1440/r1.7778/-/07--weinreben---2a6ae93fc5371460.jpg,2025-10-07T09:36:00Z,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Die Weinernte in Frankreich dürfte ein weiteres Jahr in Folge sehr schlecht ausfallen. Das Landwirtschaftsministerium in Paris schätzt den diesjä… [+1020 chars]",,de,'Hitzewelle'
https://www.stern.de/news/bericht--zahl-der-hitzetoten-in-diesem-sommer-in-deutschland-auf-2500-gesunken-36114328.html,https://www.stern.de/news/bericht--zahl-der-hitzetoten-in-diesem-sommer-in-deutschland-auf-2500-gesunken-36114328.html,0,www.stern.de,Bericht: Zahl der Hitzetoten in diesem Sommer in Deutschland auf 2500 gesunken,"Die Zahl der Hitzetoten in Deutschland ist einer Schätzung des Robert-Koch-Instituts (RKI) zufolge in diesem Sommer auf 2500 gesunken. Damit sank der Wert auf den niedrigsten Stand seit 2021, wie die ""Rheinische Post"" auf Grundlage von Wochenberichten zur hit…",https://image.stern.de/36114330/t/NS/v1/w1440/r1.7778/-/08--passant-fuellt-wasserflasche-in-paris---1ab481be59a26beb.jpg,2025-10-08T09:19:03Z,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Die Zahl der Hitzetoten in Deutschland ist einer Schätzung des Robert-Koch-Instituts (RKI) zufolge in diesem Sommer auf 2500 gesunken. Damit sank… [+543 chars]",,de,'Hitzetote'
